Artist,Stage Name,Host Name,Timeslot,Date,Year,Day,Weekend
Max Enforcer & Balistic,Unknown,Q-Dance,Unknown,27-Jul,2008,Sunday,Weekend 1
Josh & Wesz,Unknown,Q-Dance,Unknown,27-Jul,2008,Sunday,Weekend 1
Deepack,Unknown,Q-Dance,Unknown,27-Jul,2008,Sunday,Weekend 1
The Viper,Unknown,Q-Dance,Unknown,27-Jul,2008,Sunday,Weekend 1
Headhunterz & Wildstylez,Unknown,Q-Dance,Unknown,27-Jul,2008,Sunday,Weekend 1
Coone,Unknown,Q-Dance,Unknown,27-Jul,2008,Sunday,Weekend 1
Showtek,Unknown,Q-Dance,Unknown,27-Jul,2008,Sunday,Weekend 1
The Prophet,Unknown,Q-Dance,Unknown,27-Jul,2008,Sunday,Weekend 1
Zany,Unknown,Q-Dance,Unknown,27-Jul,2008,Sunday,Weekend 1
Patrick Schmidt vs Bartholomeo,Unknown,Café D'Anvers,Unknown,27-Jul,2008,Sunday,Weekend 1
Prinz,Unknown,Café D'Anvers,Unknown,27-Jul,2008,Sunday,Weekend 1
Smos & Baby Bee,Unknown,Café D'Anvers,Unknown,27-Jul,2008,Sunday,Weekend 1
Dominik Eulberg,Unknown,Café D'Anvers,Unknown,27-Jul,2008,Sunday,Weekend 1
Loco Dice,Unknown,Café D'Anvers,Unknown,27-Jul,2008,Sunday,Weekend 1
Dubfire,Unknown,Café D'Anvers,Unknown,27-Jul,2008,Sunday,Weekend 1
Sasha,Unknown,Café D'Anvers,Unknown,27-Jul,2008,Sunday,Weekend 1
Guy Ohm,Unknown,Rendez Fou,Unknown,27-Jul,2008,Sunday,Weekend 1
RedD,Unknown,Rendez Fou,Unknown,27-Jul,2008,Sunday,Weekend 1
TiNo & Raoul,Unknown,Rendez Fou,Unknown,27-Jul,2008,Sunday,Weekend 1
Mystique & Davidov,Unknown,Rendez Fou,Unknown,27-Jul,2008,Sunday,Weekend 1
Discobar Galaxie,Unknown,Rendez Fou,Unknown,27-Jul,2008,Sunday,Weekend 1
Morse Inspectors,Unknown,Kompakt,Unknown,27-Jul,2008,Sunday,Weekend 1
Geo,Unknown,Kompakt,Unknown,27-Jul,2008,Sunday,Weekend 1
Navid tahernia,Unknown,Kompakt,Unknown,27-Jul,2008,Sunday,Weekend 1
Jennifer cardini,Unknown,Kompakt,Unknown,27-Jul,2008,Sunday,Weekend 1
Tobias thomas,Unknown,Kompakt,Unknown,27-Jul,2008,Sunday,Weekend 1
Superpitcher,Unknown,Kompakt,Unknown,27-Jul,2008,Sunday,Weekend 1
Wighnomy Bros,Unknown,Kompakt,Unknown,27-Jul,2008,Sunday,Weekend 1
Gui Borrato,Unknown,Kompakt,Unknown,27-Jul,2008,Sunday,Weekend 1
B,Unknown,Versuz,Unknown,27-Jul,2008,Sunday,Weekend 1
Tom leclerq,Unknown,Versuz,Unknown,27-Jul,2008,Sunday,Weekend 1
Dave Lambert,Unknown,Versuz,Unknown,27-Jul,2008,Sunday,Weekend 1
Funkerman,Unknown,Versuz,Unknown,27-Jul,2008,Sunday,Weekend 1
Joachim Gerraud,Unknown,Versuz,Unknown,27-Jul,2008,Sunday,Weekend 1
Fedde Le Grand,Unknown,Versuz,Unknown,27-Jul,2008,Sunday,Weekend 1
Kr!z,Unknown,kozzmozz,Unknown,27-Jul,2008,Sunday,Weekend 1
Spacid,Unknown,kozzmozz,Unknown,27-Jul,2008,Sunday,Weekend 1
DJ Pierre,Unknown,kozzmozz,Unknown,27-Jul,2008,Sunday,Weekend 1
Steve Bug,Unknown,kozzmozz,Unknown,27-Jul,2008,Sunday,Weekend 1
Claude Young,Unknown,kozzmozz,Unknown,27-Jul,2008,Sunday,Weekend 1
British Murder Boys,Unknown,kozzmozz,Unknown,27-Jul,2008,Sunday,Weekend 1
Chris Liebing,Unknown,kozzmozz,Unknown,27-Jul,2008,Sunday,Weekend 1
Fred Nova,Unknown,Armada,Unknown,27-Jul,2008,Sunday,Weekend 1
Fred Baker,Unknown,Armada,Unknown,27-Jul,2008,Sunday,Weekend 1
Menno De Jong,Unknown,Armada,Unknown,27-Jul,2008,Sunday,Weekend 1
Deadmau5,Unknown,Armada,Unknown,27-Jul,2008,Sunday,Weekend 1
PUSH,Unknown,Armada,Unknown,27-Jul,2008,Sunday,Weekend 1
Markus Schulz,Unknown,Armada,Unknown,27-Jul,2008,Sunday,Weekend 1
Above & Beyond,Unknown,Armada,Unknown,27-Jul,2008,Sunday,Weekend 1
Ramon Tapia aka El Carlitto,Unknown,Electronic Ghetto,Unknown,27-Jul,2008,Sunday,Weekend 1
Shadowdancer,Unknown,Electronic Ghetto,Unknown,27-Jul,2008,Sunday,Weekend 1
Housemeister,Unknown,Electronic Ghetto,Unknown,27-Jul,2008,Sunday,Weekend 1
Teenage Bad Girl,Unknown,Electronic Ghetto,Unknown,27-Jul,2008,Sunday,Weekend 1
Les Petits Pilous,Unknown,Electronic Ghetto,Unknown,27-Jul,2008,Sunday,Weekend 1
Para One,Unknown,Electronic Ghetto,Unknown,27-Jul,2008,Sunday,Weekend 1
Mason,Unknown,Electronic Ghetto,Unknown,27-Jul,2008,Sunday,Weekend 1
IVan Smagghe,Unknown,Electronic Ghetto,Unknown,27-Jul,2008,Sunday,Weekend 1
Fausto,Unknown,Q-Dance,Unknown,27-Jul,2008,Sunday,Weekend 1
Winner DJ contest,Mainstage,Mainstage,Unknown,27-Jul,2008,Sunday,Weekend 1
Brian-V,Mainstage,Mainstage,Unknown,27-Jul,2008,Sunday,Weekend 1
Yves-V,Mainstage,Mainstage,Unknown,27-Jul,2008,Sunday,Weekend 1
Felix Da Housecat,Mainstage,Mainstage,Unknown,27-Jul,2008,Sunday,Weekend 1
Dr. Lektroluv,Mainstage,Mainstage,Unknown,27-Jul,2008,Sunday,Weekend 1
Carl Cox,Mainstage,Mainstage,Unknown,27-Jul,2008,Sunday,Weekend 1
David Guetta,Mainstage,Mainstage,Unknown,27-Jul,2008,Sunday,Weekend 1
Armin Van Buuren,Mainstage,Mainstage,Unknown,27-Jul,2008,Sunday,Weekend 1
D Convict,Unknown,Star Warz,Unknown,26-Jul,2008,Saturday,Weekend 1
Murdock,Unknown,Star Warz,Unknown,26-Jul,2008,Saturday,Weekend 1
Nymfo,Unknown,Star Warz,Unknown,26-Jul,2008,Saturday,Weekend 1
TLP,Unknown,Star Warz,Unknown,26-Jul,2008,Saturday,Weekend 1
One87 & DMC,Unknown,Star Warz,Unknown,26-Jul,2008,Saturday,Weekend 1
Simon Bassline Smith & Youngman Mc,Unknown,Star Warz,Unknown,26-Jul,2008,Saturday,Weekend 1
Soundweapon aka Fresh & MC Ivory,Unknown,Star Warz,Unknown,26-Jul,2008,Saturday,Weekend 1
Brian G & MC Fearless,Unknown,Star Warz,Unknown,26-Jul,2008,Saturday,Weekend 1
Euphoria,Unknown,Back 2 Basics,Unknown,26-Jul,2008,Saturday,Weekend 1
Firaga,Unknown,Back 2 Basics,Unknown,26-Jul,2008,Saturday,Weekend 1
Norion,Unknown,Back 2 Basics,Unknown,26-Jul,2008,Saturday,Weekend 1
GMS,Unknown,Back 2 Basics,Unknown,26-Jul,2008,Saturday,Weekend 1
Astral Projection,Unknown,Back 2 Basics,Unknown,26-Jul,2008,Saturday,Weekend 1
Yahel,Unknown,Back 2 Basics,Unknown,26-Jul,2008,Saturday,Weekend 1
DJ Elof,Unknown,Bonzai,Unknown,26-Jul,2008,Saturday,Weekend 1
Fire,Unknown,Bonzai,Unknown,26-Jul,2008,Saturday,Weekend 1
Capetown,Unknown,Bonzai,Unknown,26-Jul,2008,Saturday,Weekend 1
Airwave,Unknown,Bonzai,Unknown,26-Jul,2008,Saturday,Weekend 1
Yves De Ruyter,Unknown,Bonzai,Unknown,26-Jul,2008,Saturday,Weekend 1
Miikha Kuisma,Unknown,Bonzai,Unknown,26-Jul,2008,Saturday,Weekend 1
Gareth Emery,Unknown,Bonzai,Unknown,26-Jul,2008,Saturday,Weekend 1
Andy Moor,Unknown,Bonzai,Unknown,26-Jul,2008,Saturday,Weekend 1
Dave Lambert,Unknown,Versuz invites Defected In The House,Unknown,26-Jul,2008,Saturday,Weekend 1
Yamo,Unknown,Versuz invites Defected In The House,Unknown,26-Jul,2008,Saturday,Weekend 1
Copyright,Unknown,Versuz invites Defected In The House,Unknown,26-Jul,2008,Saturday,Weekend 1
Simon Dunmore,Unknown,Versuz invites Defected In The House,Unknown,26-Jul,2008,Saturday,Weekend 1
Very special guest,Unknown,Versuz invites Defected In The House,Unknown,26-Jul,2008,Saturday,Weekend 1
Kenny Dope,Unknown,Versuz invites Defected In The House,Unknown,26-Jul,2008,Saturday,Weekend 1
Dave Ellesmere,Unknown,Bpitch Control,Unknown,26-Jul,2008,Saturday,Weekend 1
Thomas Muller,Unknown,Bpitch Control,Unknown,26-Jul,2008,Saturday,Weekend 1
Thomas Andersson,Unknown,Bpitch Control,Unknown,26-Jul,2008,Saturday,Weekend 1
Sascha Funke,Unknown,Bpitch Control,Unknown,26-Jul,2008,Saturday,Weekend 1
Zander VT,Unknown,Bpitch Control,Unknown,26-Jul,2008,Saturday,Weekend 1
Paul Kalkbrenner,Unknown,Bpitch Control,Unknown,26-Jul,2008,Saturday,Weekend 1
Ellen Allien,Unknown,Bpitch Control,Unknown,26-Jul,2008,Saturday,Weekend 1
Max Walder,Unknown,Ghoststyle,Unknown,26-Jul,2008,Saturday,Weekend 1
Q-IC,Unknown,Ghoststyle,Unknown,26-Jul,2008,Saturday,Weekend 1
Manu Kenton,Unknown,Ghoststyle,Unknown,26-Jul,2008,Saturday,Weekend 1
DJ Ghost,Unknown,Ghoststyle,Unknown,26-Jul,2008,Saturday,Weekend 1
Marco Remus,Unknown,Ghoststyle,Unknown,26-Jul,2008,Saturday,Weekend 1
DJ Rush,Unknown,Ghoststyle,Unknown,26-Jul,2008,Saturday,Weekend 1
Winner DJ contest,Mainstage,Mainstage,Unknown,26-Jul,2008,Saturday,Weekend 1
Monica Electronica,Mainstage,Mainstage,Unknown,26-Jul,2008,Saturday,Weekend 1
Ida Engberg,Mainstage,Mainstage,Unknown,26-Jul,2008,Saturday,Weekend 1
The Glimmers,Mainstage,Mainstage,Unknown,26-Jul,2008,Saturday,Weekend 1
The Subs,Mainstage,Mainstage,Unknown,26-Jul,2008,Saturday,Weekend 1
John Dahlbäck,Mainstage,Mainstage,Unknown,26-Jul,2008,Saturday,Weekend 1
Martin Solveig,Mainstage,Mainstage,Unknown,26-Jul,2008,Saturday,Weekend 1
